bibcode,astraatmadja_2016,bj_2015,bj_2018,bj_2021,bj_2023
2019A&A...622L..13M,0,0,1,0,0
2019A&A...623A..22S,0,0,9,0,0
2019A&A...623A..25D,0,0,1,0,0
2019A&A...623A..38H,0,0,1,0,0
2019A&A...623A.108B,0,0,1,0,0
2019A&A...623A.114L,0,0,1,0,0
2019A&A...623A.128H,0,0,1,0,0
2019A&A...623A.150V,0,0,2,0,0
2019A&A...623A.156D,0,4,0,0,0
2019A&A...624A...1L,0,0,2,0,0
2019A&A...624A...6Y,0,1,0,0,0
2019A&A...624A..19B,4,0,0,0,0
2019A&A...624A..26B,0,0,2,0,0
2019A&A...624A..75A,0,0,1,0,0
2019A&A...624A..87B,0,0,1,0,0
2019A&A...624A.118M,0,0,1,0,0
2019A&A...624L...8P,0,0,1,0,0
2019A&A...624L...9S,0,0,1,0,0
2019A&A...625A..40A,0,0,1,0,0
2019A&A...625A..57H,0,0,3,0,0
2019A&A...625A..70Q,0,1,0,0,0
2019A&A...625A.115O,0,1,0,0,0
2019A&A...625A.120B,0,0,11,0,0
2019A&A...625A.141L,0,0,1,0,0
2019A&A...625L...2K,0,0,1,0,0
2019A&A...626A..10G,0,2,0,0,0
2019A&A...626A..16R,0,1,3,0,0
2019A&A...626A..17C,0,1,0,0,0
2019A&A...626A..29L,0,0,2,0,0
2019A&A...626A..79P,0,0,1,0,0
2019A&A...626A..80C,0,1,0,0,0
2019A&A...627A...2R,0,0,2,0,0
2019A&A...627A..29S,1,0,0,0,0
2019A&A...627A..44B,0,0,1,0,0
2019A&A...627A..99N,0,0,1,0,0
2019A&A...627A.104D,1,2,12,0,0
2019A&A...627A.119C,0,6,0,0,0
2019A&A...627A.135B,0,0,3,0,0
2019A&A...627A.150R,1,1,1,0,0
2019A&A...627A.153I,0,0,1,0,0
2019A&A...627A.173V,0,0,2,0,0
2019A&A...628A...2B,0,0,1,0,0
2019A&A...628A..36D,0,0,1,0,0
2019A&A...628A..40M,0,0,1,0,0
2019A&A...628A..94A,3,6,28,0,0
2019A&A...628A.110M,0,1,0,0,0
2019A&A...628A.123Z,0,1,0,0,0
2019A&A...629A..49O,0,0,3,0,0
2019A&A...629A..62C,0,0,1,0,0
2019A&A...629A.101N,0,0,1,0,0
2019A&A...629A.114C,0,0,2,0,0
2019A&A...630A..69S,0,1,0,0,0
2019A&A...630A.105R,0,0,3,0,0
2019A&A...630A.126B,0,0,1,0,0
2019A&A...630A.137G,1,2,0,0,0
2019A&A...630A.150G,0,1,6,0,0
2019A&A...631A..43M,0,0,1,0,0
2019A&A...631A..47K,0,1,0,0,0
2019A&A...631A..97F,0,0,4,0,0
